Transaction Date,Balance
01-Jan-25,"12,63,816.95"
05-Jan-25,"12,53,816.95"
12-Jan-25,"11,33,816.95"
12-Jan-25,"11,23,816.95"
14-Jan-25,"11,26,816.95"
17-Jan-25,"11,41,816.95"
19-Jan-25,"11,31,816.95"
26-Jan-25,"11,21,816.95"
28-Jan-25,"10,61,816.95"
30-Jan-25,"9,41,816.95"
31-Jan-25,"12,07,261.83"
31-Jan-25,"12,66,261.83"
31-Jan-25,"12,71,655.83"
01-Feb-25,"12,67,488.83"
02-Feb-25,"12,57,488.83"
09-Feb-25,"12,47,488.83"
12-Feb-25,"11,27,488.83"
16-Feb-25,"11,17,488.83"
18-Feb-25,"20,17,488.83"
19-Feb-25,"25,15,488.83"
23-Feb-25,"25,05,488.83"
28-Feb-25,"24,45,488.83"
28-Feb-25,"26,93,075.73"
28-Feb-25,"27,14,075.73"
28-Feb-25,"27,21,678.73"
01-Mar-25,"27,17,511.73"
02-Mar-25,"27,07,511.73"
04-Mar-25,"32,07,511.73"
04-Mar-25,"36,22,511.73"
09-Mar-25,"36,12,511.73"
12-Mar-25,"34,92,511.73"
13-Mar-25,"34,94,511.73"
16-Mar-25,"34,84,511.73"
19-Mar-25,"29,84,511.73"
19-Mar-25,"24,84,511.73"
21-Mar-25,"9,84,511.73"
22-Mar-25,"10,66,511.73"
23-Mar-25,"10,56,511.73"
24-Mar-25,"9,76,511.73"
25-Mar-25,"9,69,302.73"
25-Mar-25,"10,32,302.73"
28-Mar-25,"9,72,302.73"
28-Mar-25,"12,19,346.50"
29-Mar-25,"16,59,346.50"
31-Mar-25,"16,49,346.50"
31-Mar-25,"16,62,449.50"
01-Apr-25,"16,58,282.50"
02-Apr-25,"14,58,282.50"
02-Apr-25,"13,28,282.50"
04-Apr-25,"13,96,282.50"
07-Apr-25,"13,86,282.50"
09-Apr-25,"18,04,282.50"
11-Apr-25,"17,94,282.50"
12-Apr-25,"17,96,282.50"
14-Apr-25,"17,86,282.50"
20-Apr-25,"17,79,073.50"
21-Apr-25,"17,69,073.50"
28-Apr-25,"17,09,073.50"
28-Apr-25,"16,99,073.50"
29-Apr-25,"15,79,073.50"
30-Apr-25,"18,34,333.20"
30-Apr-25,"18,38,333.20"
30-Apr-25,"18,45,647.20"
01-May-25,"18,41,480.20"
05-May-25,"18,31,480.20"
08-May-25,"18,51,480.20"
09-May-25,"21,13,480.20"
12-May-25,"21,03,480.20"
16-May-25,"23,12,327.20"
19-May-25,"23,02,327.20"
20-May-25,"22,95,118.20"
23-May-25,"18,95,118.20"
23-May-25,"19,20,118.20"
24-May-25,"19,25,118.20"
