Date,Closing Balance
13/02/09,43407.79
20/02/09,42947.79
22/02/09,42447.79
26/02/09,42247.79
27/02/09,67804.79
28/02/09,67704.79
28/02/09,67466.29
01/03/09,66966.29
01/03/09,64966.29
03/03/09,62966.29
05/03/09,62766.29
05/03/09,54845.29
06/03/09,54645.29
09/03/09,67118.29
11/03/09,92118.29
12/03/09,92318.29
13/03/09,92118.29
13/03/09,90118.29
13/03/09,89056.29
22/03/09,88856.29
27/03/09,88356.29
31/03/09,135900.29
01/04/09,136365.69
01/04/09,134365.69
01/04/09,130365.69
01/04/09,130165.69
03/04/09,129365.69
06/04/09,125965.69
06/04/09,95965.69
07/04/09,91787.69
08/04/09,91587.69
09/04/09,94149.69
14/04/09,93149.69
16/04/09,97327.69
17/04/09,97127.69
22/04/09,96927.69
25/04/09,96427.69
26/04/09,95927.69
28/04/09,95327.69
30/04/09,126528.69
02/05/09,125528.69
02/05/09,123928.69
03/05/09,123428.69
06/05/09,121428.69
08/05/09,119428.69
08/05/09,117605.67
09/05/09,113605.67
09/05/09,113405.67
12/05/09,113205.67
22/05/09,112905.67
29/05/09,139265.67
01/06/09,137265.67
02/06/09,135265.67
05/06/09,135065.67
09/06/09,134184.37
10/06/09,133984.37
11/06/09,133978.85
11/06/09,144578.85
16/06/09,74578.85
17/06/09,54578.85
19/06/09,95578.85
22/06/09,95573.33
30/06/09,130767.33
01/07/09,131527.92
04/07/09,131027.92
06/07/09,126527.92
06/07/09,123875.92
09/07/09,122875.92
10/07/09,122375.92
13/07/09,120375.92
17/07/09,120075.92
20/07/09,119875.92
31/07/09,147435.92
01/08/09,145435.92
02/08/09,144825.92
03/08/09,125173.92
03/08/09,123573.92
05/08/09,143225.92
07/08/09,153725.92
10/08/09,153525.92
10/08/09,153725.92
10/08/09,153525.92
10/08/09,153265.92
10/08/09,153270.92
12/08/09,153275.92
12/08/09,146975.92
16/08/09,146094.92
16/08/09,145860.92
16/08/09,145849.89
16/08/09,145615.89
16/08/09,145604.86
16/08/09,143325.18
16/08/09,143060.18
16/08/09,142560.18
16/08/09,142457.18
22/08/09,142457.68
22/08/09,142457.7
24/08/09,142257.7
25/08/09,142258.2
25/08/09,142258.22
26/08/09,141958.22
28/08/09,141013.22
29/08/09,111013.22
31/08/09,137673.22
01/09/09,138173.22
02/09/09,134173.22
02/09/09,130552.22
08/09/09,128452.22
09/09/09,128341.92
21/09/09,128141.92
25/09/09,133427.92
29/09/09,173611.92
01/10/09,174666.88
05/10/09,172666.88
06/10/09,170466.88
10/10/09,169224.88
21/10/09,169024.88
30/10/09,201856.88
30/10/09,201656.88
01/11/09,199656.88
05/11/09,197356.88
05/11/09,195356.88
10/11/09,196237.88
11/11/09,178835.88
13/11/09,178635.88
20/11/09,178435.88
27/11/09,178135.88
30/11/09,214607.88
05/12/09,194607.88
07/12/09,192607.88
07/12/09,191339.88
09/12/09,189139.88
10/12/09,190026.88
12/12/09,189559.88
18/12/09,189359.88
19/12/09,188864.88
20/12/09,187924.88
21/12/09,187524.88
23/12/09,187224.88
29/12/09,186524.88
31/12/09,183524.88
31/12/09,227038.88
31/12/09,228608.23
03/01/10,228108.23
07/01/10,225708.23
08/01/10,195977.23
12/01/10,194777.23
18/01/10,174777.23
25/01/10,174772.23
29/01/10,209791.23
30/01/10,209191.23
01/02/10,208891.23
02/02/10,206891.23
06/02/10,206886.23
10/02/10,209086.23
10/02/10,210848.23
12/02/10,208348.23
19/02/10,208148.23
22/02/10,203253.04
25/02/10,173253.04
26/02/10,208312.04
03/03/10,208307.04
04/03/10,204307.04
05/03/10,202307.04
05/03/10,202311.58
10/03/10,200311.58
10/03/10,201192.58
11/03/10,201193.03
11/03/10,201193.04
11/03/10,201188.04
13/03/10,200688.04
17/03/10,198134.92
22/03/10,197434.92
23/03/10,197904.92
29/03/10,197909.46
31/03/10,256761.46
01/04/10,258333.05
02/04/10,246133.05
03/04/10,245653.05
03/04/10,245462.05
05/04/10,245462.5
05/04/10,245462.51
09/04/10,246343.51
10/04/10,245155.3
13/04/10,244855.3
22/04/10,244859.84
22/04/10,244864.38
26/04/10,244264.38
29/04/10,169264.38
30/04/10,189631.38
30/04/10,188931.38
03/05/10,188932.28
03/05/10,188932.3
03/05/10,188332.3
05/05/10,186332.3
05/05/10,184853.3
05/05/10,184848.3
08/05/10,182048.3
12/05/10,182043.3
13/05/10,181943.3
21/05/10,181743.3
28/05/10,181543.3
31/05/10,241901.3
31/05/10,241401.3
07/06/10,239001.3
10/06/10,234121.09
10/06/10,232121.09
11/06/10,233886.09
16/06/10,233686.09
18/06/10,233386.09
22/06/10,233381.09
22/06/10,233770.09
24/06/10,233775.09
24/06/10,233780.09
25/06/10,231780.09
30/06/10,282000.09
02/07/10,282403.09
04/07/10,281403.09
07/07/10,279403.09
09/07/10,280284.09
09/07/10,278268.84
12/07/10,274268.84
13/07/10,254268.84
13/07/10,249268.84
15/07/10,249263.84
16/07/10,249268.84
23/07/10,249068.84
26/07/10,248868.84
30/07/10,289909.84
02/08/10,290824.84
09/08/10,288701.47
09/08/10,286701.47
11/08/10,286706.47
13/08/10,286701.47
19/08/10,256701.47
21/08/10,256696.47
25/08/10,258458.47
25/08/10,257858.47
28/08/10,253758.47
30/08/10,258658.47
31/08/10,299583.47
04/09/10,298883.47
08/09/10,294883.47
08/09/10,289133.42
08/09/10,254133.42
15/09/10,254138.42
15/09/10,254143.42
15/09/10,251443.42
22/09/10,251433.42
22/09/10,250933.42
24/09/10,250233.42
29/09/10,299859.42
30/09/10,304158.47
03/10/10,303558.47
05/10/10,300158.47
06/10/10,296158.47
06/10/10,294746.47
14/10/10,294146.47
22/10/10,292146.47
22/10/10,292156.47
22/10/10,291156.47
25/10/10,326156.47
25/10/10,327918.47
29/10/10,363515.47
04/11/10,358515.47
07/11/10,354515.47
08/11/10,354281.47
08/11/10,354270.44
12/11/10,349799.42
27/11/10,346899.42
27/11/10,296899.42
30/11/10,299899.42
30/11/10,327172.42
05/12/10,326172.42
07/12/10,321292.74
07/12/10,317292.74
20/12/10,315192.74
31/12/10,371860.74
01/01/11,366060.74
06/01/11,338060.74
10/01/11,339822.74
12/01/11,332110.61
12/01/11,328110.61
18/01/11,327610.61
18/01/11,327110.61
31/01/11,370589.61
09/02/11,366589.61
12/02/11,358381.79
25/02/11,355681.79
28/02/11,395849.79
07/03/11,390049.79
10/03/11,389249.79
10/03/11,385249.79
10/03/11,350449.79
10/03/11,352211.79
12/03/11,356211.79
13/03/11,355099.15
17/03/11,354699.15
17/03/11,364699.15
22/03/11,364199.15
22/03/11,374199.15
24/03/11,326199.15
25/03/11,327080.15
31/03/11,383228.15
01/04/11,389148.36
07/04/11,386048.36
07/04/11,382048.36
07/04/11,368561.95
19/04/11,368661.95
20/04/11,380723.95
27/04/11,380423.95
29/04/11,422804.95
03/05/11,422104.95
07/05/11,419904.95
10/05/11,419404.95
10/05/11,420285.95
14/05/11,416443.46
14/05/11,413343.46
14/05/11,409343.46
19/05/11,409143.46
21/05/11,408943.46
27/05/11,408243.46
28/05/11,407643.46
29/05/11,407343.46
31/05/11,407143.46
31/05/11,456533.46
02/06/11,476533.46
09/06/11,472533.46
10/06/11,472233.46
14/06/11,469133.46
14/06/11,467785.63
21/06/11,462853.63
30/06/11,520379.63
02/07/11,519279.63
08/07/11,521041.63
10/07/11,517041.63
10/07/11,508601.17
17/07/11,508367.17
29/07/11,552656.17
06/08/11,548656.17
13/08/11,540860.12
13/08/11,537760.12
26/08/11,529964.07
26/08/11,524964.07
30/08/11,573289.07
05/09/11,573789.07
06/09/11,574289.07
08/09/11,570289.07
09/09/11,572130.07
16/09/11,571830.07
29/09/11,616624.07
01/10/11,626154.7
14/10/11,621154.7
18/10/11,617154.7
18/10/11,610654.7
20/10/11,620654.7
22/10/11,617654.7
31/10/11,674719.7
03/11/11,673219.7
08/11/11,669219.7
10/11/11,670981.7
21/11/11,611481.7
24/11/11,607679.48
25/11/11,606752.38
30/11/11,649308.38
02/12/11,615673.38
02/12/11,611673.38
08/12/11,586673.38
09/12/11,587600.38
10/12/11,581900.38
13/12/11,578326.25
23/12/11,579207.25
23/12/11,578207.25
29/12/11,633972.25
03/01/12,629972.25
03/01/12,626398.12
03/01/12,623298.12
05/01/12,588298.12
10/01/12,589179.12
17/01/12,561059.12
26/01/12,560059.12
31/01/12,593116.12
06/02/12,590016.12
06/02/12,586016.12
06/02/12,583975.5
14/02/12,583775.5
15/02/12,578775.5
18/02/12,578475.5
24/02/12,580475.5
26/02/12,577675.5
27/02/12,497675.5
29/02/12,497175.5
29/02/12,549683.5
01/03/12,554683.5
02/03/12,540183.5
02/03/12,537183.5
04/03/12,534183.5
07/03/12,530183.5
12/03/12,529771.5
14/03/12,532471.5
21/03/12,531971.5
22/03/12,532971.5
24/03/12,526269.03
30/03/12,525769.03
30/03/12,580601.03
01/04/12,592486.76
03/04/12,588486.76
03/04/12,573986.76
09/04/12,577386.76
24/04/12,573861.75
25/04/12,572861.75
30/04/12,618741.75
02/05/12,618241.75
03/05/12,624671.75
04/05/12,610171.75
04/05/12,606171.75
07/05/12,406171.75
09/05/12,404671.75
09/05/12,403049.75
10/05/12,404049.75
16/05/12,403549.75
20/05/12,403049.75
20/05/12,400718.75
23/05/12,407718.75
24/05/12,403362.31
24/05/12,406892.31
24/05/12,405892.31
24/05/12,405992.31
30/05/12,454812.31
31/05/12,460172.31
31/05/12,463312.31
04/06/12,459312.31
04/06/12,444812.31
09/06/12,443812.31
19/06/12,442812.31
24/06/12,440385.31
28/06/12,439885.31
29/06/12,504268.31
01/07/12,489768.31
01/07/12,485768.31
03/07/12,485268.31
05/07/12,484768.31
10/07/12,490968.31
11/07/12,490468.31
13/07/12,500073.31
16/07/12,499573.31
22/07/12,499073.31
24/07/12,494704.73
25/07/12,496704.73
25/07/12,496204.73
27/07/12,493204.73
31/07/12,541463.73
02/08/12,516463.73
02/08/12,491463.73
02/08/12,486463.73
02/08/12,496063.73
05/08/12,494063.73
09/08/12,479563.73
19/08/12,479063.73
22/08/12,478563.73
24/08/12,473960.73
26/08/12,472960.73
30/08/12,476210.73
30/08/12,471210.73
31/08/12,518123.73
02/09/12,517623.73
03/09/12,513623.73
08/09/12,513123.73
08/09/12,507123.73
10/09/12,509123.73
14/09/12,464123.73
23/09/12,463623.73
24/09/12,460096.78
28/09/12,524918.78
29/09/12,521418.78
30/09/12,531232.14
07/10/12,523632.14
08/10/12,519632.14
12/10/12,516632.14
24/10/12,514225.31
25/10/12,513725.31
29/10/12,513225.31
31/10/12,559577.31
01/11/12,559077.31
07/11/12,558577.31
07/11/12,554577.31
09/11/12,555577.31
10/11/12,551577.31
12/11/12,551077.31
12/11/12,547077.31
17/11/12,545077.31
19/11/12,544577.31
23/11/12,545927.31
24/11/12,545024.99
24/11/12,577924.99
24/11/12,577424.99
24/11/12,577326.01
28/11/12,576826.01
30/11/12,626429.01
30/11/12,624929.01
01/12/12,628269.01
04/12/12,624269.01
06/12/12,622269.01
06/12/12,618269.01
10/12/12,617569.01
12/12/12,616069.01
14/12/12,607069.01
15/12/12,607919.01
15/12/12,604419.01
20/12/12,603599.01
20/12/12,596159.01
21/12/12,594859.01
24/12/12,588782.18
26/12/12,588282.18
28/12/12,528282.18
31/12/12,590435.18
31/12/12,584646.18
31/12/12,594646.18
03/01/13,590646.18
03/01/13,586646.18
05/01/13,585646.18
08/01/13,583646.18
08/01/13,587277.18
08/01/13,579277.18
08/01/13,583277.18
24/01/13,568732.62
24/01/13,575732.62
28/01/13,576232.62
28/01/13,575732.62
31/01/13,619786.62
31/01/13,620286.62
08/02/13,616286.62
08/02/13,612286.62
21/02/13,608286.62
24/02/13,604809.62
28/02/13,655308.62
28/02/13,659308.62
09/03/13,655308.62
09/03/13,651308.62
28/03/13,710631.62
01/04/13,722379.62
08/04/13,718379.62
12/04/13,717579.62
18/04/13,716579.62
24/04/13,715646.4
25/04/13,710646.4
28/04/13,690646.4
30/04/13,736553.4
30/04/13,741553.4
01/05/13,740553.4
06/05/13,732553.4
08/05/13,728553.4
10/05/13,726553.4
16/05/13,724970.4
19/05/13,724570.4
24/05/13,721936.85
24/05/13,723589.85
24/05/13,723289.85
26/05/13,721289.85
31/05/13,770648.85
01/06/13,768648.85
05/06/13,768148.85
08/06/13,767648.85
10/06/13,769966.85
14/06/13,767966.85
24/06/13,766798.88
27/06/13,727218.88
27/06/13,786467.88
27/06/13,785967.88
28/06/13,783482.88
01/07/13,783082.88
04/07/13,731282.88
09/07/13,730782.88
10/07/13,730282.88
12/07/13,728718.88
13/07/13,726718.88
13/07/13,783718.88
24/07/13,776766.06
31/07/13,832317.06
01/08/13,831317.06
05/08/13,820182.06
10/08/13,819182.06
20/08/13,818182.06
21/08/13,770182.06
24/08/13,765976.23
26/08/13,764476.23
30/08/13,815501.23
30/08/13,814501.23
02/09/13,812901.23
07/09/13,805566.23
07/09/13,805233.23
12/09/13,804733.23
16/09/13,803733.23
24/09/13,799281.48
24/09/13,798781.48
27/09/13,797781.48
28/09/13,796281.48
30/09/13,854793.48
30/09/13,870164.48
10/10/13,851664.48
10/10/13,844554.48
12/10/13,842654.48
20/10/13,842154.48
22/10/13,841754.48
23/10/13,840368.48
24/10/13,836894.73
26/10/13,836394.73
28/10/13,832394.73
30/10/13,831894.73
31/10/13,872127.73
09/11/13,869972.73
09/11/13,868016.73
10/11/13,859896.73
11/11/13,858896.73
12/11/13,861051.73
20/11/13,1211871.95
23/11/13,1211371.95
24/11/13,1203068.67
24/11/13,1202568.67
28/11/13,1202068.67
29/11/13,1252950.67
29/11/13,1253250.67
03/12/13,1253969.07
11/12/13,1193969.07
12/12/13,1191469.07
12/12/13,1186517.07
13/12/13,1191017.07
13/12/13,1195017.07
14/12/13,1194517.07
20/12/13,1194017.07
24/12/13,1190661.77
28/12/13,1190161.77
31/12/13,1245714.77
01/01/14,1245614.77
01/01/14,1245214.77
04/01/14,1195214.77
04/01/14,1194714.77
04/01/14,1170714.77
07/01/14,1170314.77
09/01/14,1168814.77
19/01/14,1167814.77
24/01/14,1152114.45
29/01/14,1151114.45
31/01/14,1202038.45
05/02/14,1201038.45
10/02/14,1203038.45
12/02/14,1202638.45
13/02/14,1200638.45
16/02/14,1199958.45
24/02/14,1197595.23
25/02/14,1172595.23
28/02/14,1225019.23
28/02/14,1250019.23
04/03/14,1230019.23
04/03/14,1225019.23
09/03/14,1223719.23
11/03/14,1222719.23
15/03/14,1221719.23
17/03/14,1221299.23
24/03/14,1215469.43
24/03/14,1215369.43
25/03/14,1216369.43
27/03/14,1212469.43
27/03/14,1187469.43
28/03/14,1263422.43
31/03/14,1262922.43
01/04/14,1285050.43
03/04/14,1284550.43
05/04/14,1282050.43
07/04/14,1281650.43
08/04/14,1261650.43
09/04/14,1346210.89
10/04/14,1347210.89
10/04/14,1346710.89
14/04/14,1346310.89
15/04/14,1342310.89
15/04/14,1342050.89
15/04/14,1362050.89
16/04/14,1360550.89
24/04/14,1357586.25
30/04/14,1401327.25
02/05/14,1400827.25
10/05/14,1400427.25
12/05/14,1400027.25
15/05/14,1399527.25
17/05/14,1397527.25
21/05/14,1394527.25
23/05/14,1384527.25
24/05/14,1371864.31
25/05/14,1371544.31
29/05/14,1371789.31
30/05/14,1424856.31
30/05/14,1420856.31
10/06/14,1421856.31
14/06/14,1421456.31
18/06/14,1420756.31
21/06/14,1370756.31
21/06/14,1370256.31
24/06/14,1363221.18
25/06/14,1359721.18
30/06/14,1427524.18
04/07/14,1426724.18
05/07/14,1421724.18
07/07/14,1420924.18
12/07/14,1420124.18
13/07/14,1417624.18
20/07/14,1415824.18
24/07/14,1410298.62
28/07/14,1409298.62
31/07/14,1462365.62
04/08/14,1459865.62
08/08/14,1454865.62
10/08/14,1451865.62
15/08/14,1446615.62
24/08/14,1444324.69
25/08/14,1446324.69
26/08/14,1436324.69
28/08/14,1493419.69
29/08/14,1490419.69
02/09/14,1290419.69
02/09/14,1285419.69
03/09/14,1271419.69
05/09/14,1268419.69
07/09/14,1268074.75
11/09/14,1219836.75
11/09/14,1218836.75
19/09/14,1215336.75
24/09/14,1200657.08
30/09/14,1190657.08
30/09/14,1262379.08
30/09/14,1257379.08
01/10/14,1284983.08
03/10/14,1270983.08
06/10/14,1269483.08
08/10/14,1267804.08
11/10/14,1264804.08
24/10/14,1251216.41
29/10/14,1250902.41
30/10/14,1250896.79
30/10/14,1260296.79
31/10/14,1311895.79
02/11/14,1306895.79
02/11/14,1302895.79
03/11/14,1299395.79
14/11/14,1294395.79
24/11/14,1283226.79
28/11/14,1341261.79
30/11/14,1337261.79
01/12/14,1334961.79
03/12/14,1329961.79
03/12/14,1318461.79
11/12/14,1315961.79
12/12/14,1314461.79
13/12/14,1331682.79
19/12/14,1311682.79
23/12/14,1319117.79
24/12/14,1309009.42
26/12/14,1307709.42
30/12/14,1277709.42
31/12/14,1248607.42
31/12/14,1333867.42
02/01/15,1327867.42
03/01/15,1322867.42
03/01/15,1308867.42
09/01/15,1310867.42
10/01/15,1309867.42
24/01/15,1305406.67
26/01/15,1325406.67
30/01/15,1393688.67
31/01/15,1383688.67
02/02/15,1377688.67
03/02/15,1363688.67
03/02/15,1358688.67
03/02/15,1258688.67
04/02/15,1083688.67
06/02/15,908688.67
08/02/15,907987.57
13/02/15,919587.57
14/02/15,916587.57
22/02/15,726587.57
24/02/15,717818.93
27/02/15,781383.93
28/02/15,606383.93
02/03/15,601383.93
02/03/15,587383.93
02/03/15,694883.93
09/03/15,504883.93
10/03/15,506883.93
24/03/15,496488.16
26/03/15,471488.16
31/03/15,554524.16
31/03/15,548524.16
01/04/15,570866.16
04/04/15,565866.16
04/04/15,540816.16
04/04/15,526816.16
04/04/15,426816.16
09/04/15,251816.16
11/04/15,199816.16
21/04/15,169816.16
23/04/15,183421.16
24/04/15,180705.16
30/04/15,236360.16
03/05/15,222360.16
03/05/15,217360.16
03/05/15,197360.16
05/05/15,193860.16
06/05/15,213860.16
08/05/15,211860.16
11/05/15,212360.16
18/05/15,207360.16
24/05/15,202983.72
25/05/15,203983.72
29/05/15,283844.72
29/05/15,284344.72
30/05/15,205000.72
01/06/15,210500.72
01/06/15,205500.72
01/06/15,200500.72
03/06/15,186500.72
21/06/15,181500.72
24/06/15,164471.08
30/06/15,259616.08
01/07/15,253616.08
04/07/15,239616.08
04/07/15,199616.08
06/07/15,200616.08
07/07/15,199816.08
07/07/15,199316.08
09/07/15,216726.08
15/07/15,196726.08
21/07/15,197576.08
24/07/15,174394.38
24/07/15,176394.38
31/07/15,247957.38
31/07/15,97957.38
02/08/15,93457.38
02/08/15,88457.38
12/08/15,87457.38
19/08/15,85457.38
24/08/15,78810.48
26/08/15,53810.48
31/08/15,133234.48
02/09/15,128234.48
02/09/15,120234.48
02/09/15,99984.48
04/09/15,95984.48
10/09/15,97984.48
10/09/15,97983.48
10/09/15,97984.48
12/09/15,95984.48
18/09/15,97104.48
23/09/15,96104.48
24/09/15,89211.48
30/09/15,85211.48
30/09/15,175862.48
01/10/15,179424.48
01/10/15,174424.48
01/10/15,160774.48
01/10/15,99999.48
07/10/15,97999.48
12/10/15,117299.48
12/10/15,99999.48
16/10/15,98999.48
17/10/15,95772.53
17/10/15,100000
21/10/15,99000
22/10/15,100000
25/10/15,92059.48
28/10/15,91059.48
30/10/15,161309.48
31/10/15,100000
01/11/15,95000
01/11/15,81000
01/11/15,76000
01/11/15,75710
02/11/15,85710
14/11/15,85123.92
20/11/15,84948.92
21/11/15,82948.92
23/11/15,60055.5
24/11/15,60905.5
25/11/15,61905.5
30/11/15,146705.5
30/11/15,100000
01/12/15,95500
01/12/15,81500
01/12/15,76500
10/12/15,74500
15/12/15,82625
15/12/15,81625
18/12/15,56625
23/12/15,41172.56
31/12/15,159470.56
31/12/15,100170.56
31/12/15,71121.56
02/01/16,66121.56
02/01/16,52121.56
03/01/16,51870.56
05/01/16,50870.56
06/01/16,48870.56
08/01/16,28870.56
08/01/16,29870.56
12/01/16,41370.56
21/01/16,40666.64
23/01/16,22790.08
25/01/16,18990.08
29/01/16,95932.08
30/01/16,104932.08
31/01/16,102932.08
01/02/16,98000
01/02/16,93000
06/02/16,90000
10/02/16,99000
13/02/16,94000
23/02/16,78388.3
25/02/16,79388.3
29/02/16,165687.3
01/03/16,174687.3
01/03/16,169687.3
01/03/16,162687.3
01/03/16,100000
02/03/16,103073
06/03/16,100573
08/03/16,103927
10/03/16,102527
12/03/16,100000
16/03/16,98100
21/03/16,93100
23/03/16,75400
24/03/16,76400
24/03/16,71400
31/03/16,185413
31/03/16,210413
31/03/16,205413
01/04/16,207028
02/04/16,202028
02/04/16,193028
02/04/16,100000
04/04/16,75360
07/04/16,76360
15/04/16,75460
19/04/16,84460
19/04/16,83460
21/04/16,82460
23/04/16,71586
26/04/16,70686
29/04/16,150911
29/04/16,100000
03/05/16,86000
03/05/16,81000
11/05/16,81685
19/05/16,80685
23/05/16,73230.97
27/05/16,72330.97
31/05/16,160501.97
31/05/16,153501.97
31/05/16,100000
01/06/16,118000
04/06/16,113000
04/06/16,99000
10/06/16,98100
19/06/16,97100
23/06/16,97066
30/06/16,221499
30/06/16,215499
01/07/16,216404
01/07/16,99990
01/07/16,94990
01/07/16,80990
05/07/16,78490
08/07/16,128490
08/07/16,128390
09/07/16,78390
10/07/16,68390
10/07/16,63390
11/07/16,113390
11/07/16,111890
13/07/16,110890
14/07/16,100000
14/07/16,98300
15/07/16,107300
23/07/16,102234.9
29/07/16,193025.9
30/07/16,100000
04/08/16,95000
04/08/16,81000
04/08/16,78500
04/08/16,72930
06/08/16,70930
09/08/16,100930
11/08/16,100430
23/08/16,79553.08
25/08/16,67053.08
31/08/16,85053.08
31/08/16,87993.08
31/08/16,176164.08
31/08/16,173164.08
31/08/16,100000
02/09/16,95000
02/09/16,81000
02/09/16,78250
05/09/16,77250
08/09/16,78250
16/09/16,75250
23/09/16,71918.56
30/09/16,201067.56
30/09/16,100000
01/10/16,100919
01/10/16,96919
01/10/16,91919
03/10/16,88919
03/10/16,118919
05/10/16,104919
05/10/16,102169
05/10/16,94169
05/10/16,102169
17/10/16,101669
23/10/16,51767.96
28/10/16,146956.96
02/11/16,100000
02/11/16,95000
04/11/16,51595
05/11/16,35595
06/11/16,21595
06/11/16,18845
10/11/16,19396
10/11/16,28396
16/11/16,26746
22/11/16,24746
23/11/16,16520.72
29/11/16,11385.72
30/11/16,104014.72
01/12/16,100000
01/12/16,115000
03/12/16,110000
03/12/16,96000
03/12/16,93250
05/12/16,92150
05/12/16,76150
14/12/16,70150
16/12/16,79150
23/12/16,54983.22
23/12/16,67014.22
26/12/16,65914.22
27/12/16,50914.22
27/12/16,35914.22
27/12/16,35499.22
27/12/16,36161.22
27/12/16,34161.22
29/12/16,32988.22
30/12/16,150639.22
31/12/16,100000
01/01/17,100722
01/01/17,96722
02/01/17,97722
02/01/17,93722
02/01/17,88722
02/01/17,85972
02/01/17,71972
03/01/17,73145
04/01/17,73745
05/01/17,57745
09/01/17,59310
11/01/17,58355
11/01/17,60228
12/01/17,69228
15/01/17,67043
23/01/17,44912.16
31/01/17,146286.16
31/01/17,142786.16
02/02/17,100000
02/02/17,95000
05/02/17,81000
05/02/17,81465
05/02/17,78715
05/02/17,79080
06/02/17,63080
12/02/17,61080
16/02/17,39580
23/02/17,28826.35
