date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,,Actual Sell,pl,,
04/09/25,SAGCEM,Smallcap,Building Materials,296.50,221.51,34,10081.00,7531.34,-2549.66,,,,,,
14/07/25,PEL,Largecap,Financials,,,,,,,,,,,,
18/07/25,SAGCEM,Smallcap,Building Materials,267.21,221.51,37,9886.77,8195.87,-1690.90,,,,,,
30/10/25,SAGILITY,Largecap,I.T,54.95,53.28,182,10000.00,9696.96,-303.04,,,,,,
11/08/25,SAILIFE,Midcap,Healthcare,903.95,871.95,11,9943.45,9591.45,-352.00,,,,,,
03/07/25,SAKSOFT,Smallcap,I.T,228.85,200.17,44,10069.49,8807.48,-1262.01,,,,,,
30/10/25,SALASAR,Smallcap,Metals & Mining,10.61,9.54,943,10005.23,8996.22,-1009.01,,,,,,
09/09/25,SALASAR,Smallcap,Metals & Mining,10.36,9.54,965,9997.40,9206.10,-791.30,,,,,,
24/04/25,SAMHI,Smallcap,Services,194.00,181.72,52,10088.00,9449.44,-638.56,,,,,,
27/06/25,SANGAMIND,Smallcap,Textiles,487.56,451.95,21,10238.76,9490.95,-747.81,,,,,,
16/05/25,SANGAMIND,Smallcap,Textiles,456.42,451.95,22,10041.15,9942.90,-98.25,,,,,,
30/06/25,SANOFICONR,Midcap,Healthcare,5696.00,4831.90,2,11392.00,9663.80,-1728.20,,,,,,
04/07/25,SAPPHIRE,Midcap,Consumer Discretionary,333.00,245.80,30,9990.00,7374.00,-2616.00,,,,,,
06/08/25,SARDAEN,Midcap,Metals & Mining,585.53,518.05,17,9954.02,8806.85,-1147.17,,,,,,
27/10/25,SATIN,Smallcap,Financials,157.12,151.53,64,10055.68,9697.92,-357.76,,,,,,
30/07/25,SAURASHCEM,Smallcap,Building Materials,116.82,98.03,86,10046.52,8430.58,-1615.94,,,,,,
21/07/25,SAURASHCEM,Smallcap,Building Materials,103.80,98.03,96,9964.80,9410.88,-553.92,,,,,,
