date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,
27/03/25,CREATIVE,Smallcap,I.T,777.87,703.80,13,10112.25,9149.40,-962.85,,
08/09/25,CYIENTDLM,Smallcap,Consumer Discretionary,474.85,428.85,21,9971.85,9005.85,-966.00,,
24/04/25,NATCOPHARM,Midcap,Healthcare,902.98,812.65,11,9932.78,8939.15,-993.63,,
22/08/25,RSYSTEMS,Smallcap,I.T,455.15,409.55,22,10013.30,9010.10,-1003.20,,
20/08/25,SURAJEST,Smallcap,Realty,322.75,290.25,31,10005.25,8997.75,-1007.50,,
16/09/25,DLINKINDIA,Smallcap,Services,506.73,456.20,20,10134.59,9124.00,-1010.59,,
29/10/25,SOLARWORLD,Smallcap,Power & Utilities,334.00,300.05,30,10020.00,9001.50,-1018.50,,
06/10/25,UFLEX,Smallcap,Industrials,580.00,519.70,17,9860.00,8834.90,-1025.10,,
05/09/25,PLATIND,Smallcap,Chemicals,288.65,259.35,35,10102.75,9077.25,-1025.50,,
13/10/25,JUSTDIAL,Midcap,I.T,821.00,734.95,12,9852.00,8819.40,-1032.60,,
04/06/25,QUICKHEAL,Smallcap,I.T,355.00,317.95,28,9940.00,8902.60,-1037.40,,
02/09/25,MOBIKWIK,Smallcap,I.T,284.00,253.60,35,9940.00,8876.00,-1064.00,,
10/11/25,AARTIDRUGS,Smallcap,Healthcare,520.50,463.45,19,9889.50,8805.55,-1083.95,,
03/10/25,ASTRAMICRO,Midcap,Aerospace & Defence,1119.85,999.30,9,10078.65,8993.70,-1084.95,,
22/04/25,ALOKINDS,Midcap,Textiles,19.42,17.31,515,10001.30,8914.65,-1086.65,,
23/05/25,SEAMECLTD,Smallcap,Miscellaneous,978.00,867.50,10,9780.00,8675.00,-1105.00,,
18/08/25,NIVABUPA,Midcap,Financials,86.10,76.57,116,9987.60,8882.12,-1105.48,,
03/09/25,PNCINFRA,Midcap,Realty,308.74,274.05,32,9879.83,8769.60,-1110.23,,
10/09/25,MAMATA,Smallcap,Industrials,474.34,420.10,21,9961.09,8822.10,-1138.99,,
12/09/25,THEMISMED,Smallcap,Healthcare,131.99,116.96,76,10031.24,8888.96,-1142.28,,
07/07/25,JYOTHYLAB,Midcap,FMCG,350.37,310.85,29,10160.79,9014.65,-1146.13,,
17/07/25,TINNARUBR,Smallcap,FMCG,1019.79,903.75,10,10197.86,9037.50,-1160.36,,
16/05/25,CONCOR,Largecap,Transportation,587.15,518.85,17,9981.58,8820.45,-1161.13,,
17/09/25,PNCINFRA,Midcap,Realty,310.39,274.05,32,9932.53,8769.60,-1162.93,,
19/09/25,ALIVUS,Midcap,Healthcare,1021.30,904.70,10,10213.00,9047.00,-1166.00,,
17/09/25,RADHIKAJWE,Smallcap,Consumer Discretionary,95.20,84.08,105,9996.00,8828.40,-1167.60,,
15/09/25,IRCON,Midcap,Realty,185.00,163.27,54,9990.00,8816.58,-1173.42,,
31/07/25,JINDRILL,Smallcap,Energy,650.58,571.55,15,9758.64,8573.25,-1185.39,,
31/07/25,EMAMILTD,Largecap,FMCG,590.44,520.35,17,10037.52,8845.95,-1191.57,,
30/07/25,MADRASFERT,Smallcap,Chemicals,92.50,81.33,108,9990.00,8783.64,-1206.36,,
09/09/25,SULA,Smallcap,FMCG,282.00,247.20,35,9870.00,8652.00,-1218.00,,
14/10/25,LANDMARK,Smallcap,Consumer Discretionary,638.00,561.70,16,10208.00,8987.20,-1220.80,,
13/06/25,JUBLINGREA,Midcap,Chemicals,777.62,683.00,13,10109.06,8879.00,-1230.06,,
15/10/25,GENESYS,Smallcap,I.T,544.55,475.85,18,9801.90,8565.30,-1236.60,,
30/10/25,VENKEYS,Smallcap,FMCG,1535.00,1354.70,7,10745.00,9482.90,-1262.10,,
18/07/25,CAPITALSFB,Smallcap,Bank,308.75,268.75,32,9879.98,8600.00,-1279.98,,
06/06/25,ARVSMART,Smallcap,Realty,699.21,607.40,14,9788.99,8503.60,-1285.39,,
27/06/25,ASALCBR,Smallcap,FMCG,1125.48,981.40,9,10129.35,8832.60,-1296.75,,
03/10/25,ORISSAMINE,Smallcap,Metals & Mining,5770.00,5116.50,2,11540.00,10233.00,-1307.00,,
21/04/25,GNA,Smallcap,Auto,367.44,318.85,27,9920.94,8608.95,-1311.99,,
01/07/25,CEIGALL,Smallcap,Realty,284.00,246.35,35,9940.00,8622.25,-1317.75,,
07/10/25,ESTER,Smallcap,Industrials,121.90,105.75,82,9995.80,8671.50,-1324.30,,
01/08/25,SUZLON,Largecap,Industrials,66.60,57.68,150,9990.00,8652.00,-1338.00,,
02/09/25,RENUKA,Midcap,FMCG,32.70,28.23,306,10006.20,8638.38,-1367.82,,
11/09/25,IKIO,Smallcap,Consumer Discretionary,229.20,198.09,44,10084.80,8715.96,-1368.84,,
07/10/25,ARIHANTSUP,Smallcap,Realty,436.00,376.40,23,10028.00,8657.20,-1370.80,,
24/04/25,NEWGEN,Midcap,I.T,1094.64,940.70,9,9851.74,8466.30,-1385.44,,
22/09/25,OMINFRAL,Smallcap,Realty,129.70,111.64,77,9986.90,8596.28,-1390.62,,
16/09/25,BAJEL,Smallcap,Realty,222.00,191.03,45,9990.00,8596.35,-1393.65,,
09/06/25,MOTISONS,Smallcap,Consumer Discretionary,19.64,16.89,509,9996.76,8597.01,-1399.75,,
13/10/25,ABSLAMC,Largecap,Financials,852.00,733.95,12,10224.00,8807.40,-1416.60,,
08/09/25,SSWL,Smallcap,Auto,241.84,207.23,41,9915.45,8496.43,-1419.02,,
08/08/25,SALZERELEC,Smallcap,Industrials,897.80,766.25,11,9875.84,8428.75,-1447.09,,
09/10/25,GRINFRA,Midcap,Realty,1279.90,1098.30,8,10239.20,8786.40,-1452.80,,
26/06/25,FIRSTCRY,Midcap,Consumer Discretionary,393.95,335.55,25,9848.75,8388.75,-1460.00,,
18/09/25,DPSCLTD,Smallcap,Power & Utilities,13.19,11.21,758,9998.02,8497.18,-1500.84,,
12/08/25,SJVN,Largecap,Power & Utilities,98.18,83.44,102,10014.00,8510.88,-1503.12,,
17/07/25,RADHIKAJWE,Smallcap,Consumer Discretionary,99.00,84.08,101,9999.00,8492.08,-1506.92,,
11/09/25,INDOCO,Smallcap,Healthcare,310.00,262.90,32,9920.00,8412.80,-1507.20,,
15/04/25,SHK,Smallcap,Chemicals,200.44,169.69,50,10021.89,8484.50,-1537.39,,
10/09/25,OFSS,Largecap,I.T,9798.09,8223.50,1,9798.09,8223.50,-1574.59,,
17/09/25,LUXIND,Smallcap,Textiles,1429.00,1202.60,7,10003.00,8418.20,-1584.80,,
14/10/25,NAVKARCORP,Smallcap,Transportation,129.50,108.84,77,9971.50,8380.68,-1590.82,,
09/04/25,JYOTHYLAB,Midcap,FMCG,371.31,310.85,27,10025.24,8392.95,-1632.29,,
06/06/25,RKFORGE,Midcap,Industrials,663.00,552.70,15,9945.00,8290.50,-1654.50,,
11/08/25,DVL,Smallcap,Services,370.55,309.25,27,10004.85,8349.75,-1655.10,,
20/08/25,IKIO,Smallcap,Consumer Discretionary,237.80,198.09,42,9987.60,8319.78,-1667.82,,
24/03/25,FINCABLES,Midcap,Industrials,936.18,783.05,11,10297.95,8613.55,-1684.40,,
27/03/25,SHOPERSTOP,Midcap,Consumer Discretionary,556.40,462.45,18,10015.20,8324.10,-1691.10,,
19/08/25,DEVYANI,Midcap,Consumer Discretionary,166.26,138.07,60,9975.60,8284.20,-1691.40,,
11/09/25,GREENPANEL,Smallcap,Building Materials,326.90,272.00,31,10133.90,8432.00,-1701.90,,
10/07/25,ORIENTHOT,Smallcap,Services,147.70,122.61,68,10043.69,8337.48,-1706.21,,
30/06/25,SANOFICONR,Midcap,Healthcare,5696.00,4831.90,2,11392.00,9663.80,-1728.20,,
04/09/25,BATAINDIA,Midcap,Consumer Discretionary,1244.80,1027.10,8,9958.40,8216.80,-1741.60,,
19/09/25,EXICOM,Smallcap,Industrials,161.01,132.53,62,9982.62,8216.86,-1765.76,,
08/09/25,PRECAM,Smallcap,Auto,228.00,187.73,44,10032.00,8260.12,-1771.88,,
24/06/25,GARFIBRES,Midcap,Textiles,905.54,730.95,11,9960.93,8040.45,-1920.48,,
26/08/25,RTNINDIA,Midcap,Financials,58.50,46.78,171,10003.50,7999.38,-2004.12,,
12/06/25,INNOVACAP,Smallcap,Healthcare,963.80,751.30,10,9638.00,7513.00,-2125.00,,
05/08/25,PRAKASH,Smallcap,Metals & Mining,187.70,147.09,53,9948.29,7795.77,-2152.52,,
08/09/25,NEOGEN,Smallcap,Chemicals,1579.99,1217.20,6,9479.97,7303.20,-2176.77,,
17/09/25,PCJEWELLER,Midcap,Consumer Discretionary,14.90,11.56,671,9997.90,7756.76,-2241.14,,
15/07/25,ORIENTHOT,Smallcap,Services,158.52,122.61,63,9986.66,7724.43,-2262.23,,139
17/06/25,HAPPSTMNDS,Midcap,I.T,656.60,504.85,15,9848.97,7572.75,-2276.22,,
28/03/25,NITCO,Smallcap,Building Materials,121.05,92.18,83,10047.15,7650.94,-2396.21,,
21/04/25,BSHSL,Smallcap,FMCG,154.70,117.16,65,10055.50,7615.40,-2440.10,,
23/06/25,BOROSCI,Smallcap,Building Materials,165.40,124.03,60,9924.00,7441.80,-2482.20,,
04/09/25,SAPPHIRE,Midcap,Consumer Discretionary,326.00,245.80,31,10106.00,7619.80,-2486.20,,303
25/06/25,AKUMS,Midcap,Healthcare,575.70,424.30,17,9786.90,7213.10,-2573.80,,
26/05/25,ESTER,Smallcap,Industrials,144.04,105.75,69,9938.74,7296.75,-2641.99,,
18/09/25,RBA,Smallcap,Consumer Discretionary,86.00,63.01,116,9976.00,7309.16,-2666.84,,74.5
20/08/25,DYCL,Smallcap,Industrials,515.15,365.50,19,9787.85,6944.50,-2843.35,,399.95
26/08/25,SHK,Smallcap,Chemicals,239.20,169.69,42,10046.40,7126.98,-2919.42,,230.66
10/06/25,JINDALSAW,Midcap,Industrials,250.31,169.13,40,10012.40,6765.20,-3247.20,,
06/06/25,ROUTE,Smallcap,I.T,1030.80,692.05,10,10307.95,6920.50,-3387.45,,
02/09/25,QUADFUTURE,Smallcap,Industrials,467.80,301.35,21,9823.80,6328.35,-3495.45,,407
08/09/25,COHANCE,Largecap,Healthcare,991.50,615.50,10,9915.00,6155.00,-3760.00,,
09/06/25,PRAJIND,Midcap,Industrials,529.54,331.40,19,10061.23,6296.60,-3764.63,,
03/04/25,TEJASNET,Midcap,Telecom,872.02,521.15,11,9592.17,5732.65,-3859.52,,
05/09/25,SKFINDIA,Midcap,Industrials,4878.00,2045.00,2,9756.00,4090.00,-5666.00,,
24/09/25,ALLCARGO,Smallcap,Transportation,33.93,13.09,295,10009.35,3861.55,-6147.80,,
07/07/25,GANESHHOU,Midcap,Realty,,,,0.00,0.00,,,
22/08/25,DHANI,Smallcap,Financials,,,,0.00,0.00,,,
23/10/25,HARSHA,Smallcap,Auto,,,,0.00,0.00,,,
