date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,
13/05/25,TANLA,Midcap,I.T,548.59,610.55,18,9874.54,10989.90,1115.36,,
16/07/25,SHREDIGCEM,Smallcap,Building Materials,81.27,90.09,123,9996.59,11081.07,1084.48,,
08/07/25,MSPL,Smallcap,Metals & Mining,31.45,34.72,318,10001.10,11040.96,1039.86,,
12/09/25,GPPL,Midcap,Transportation,158.07,174.43,63,9958.60,10989.09,1030.49,,
15/04/25,FINOPB,Smallcap,Bank,255.80,282.00,39,9976.20,10998.00,1021.80,,
17/04/25,FUSION,Smallcap,Financials,155.11,170.94,64,9927.04,10940.16,1013.12,,
09/07/25,RELIGARE,Midcap,Financials,235.99,260.00,42,9911.58,10920.00,1008.42,,
24/03/25,SHARDAMOTR,Midcap,Auto,936.63,1025.80,11,10302.93,11283.80,980.87,,
12/08/25,ALKEM,Largecap,Healthcare,5240.00,5722.50,2,10480.00,11445.00,965.00,,
23/10/25,GRWRHITECH,Midcap,Industrials,3449.30,3760.90,3,10347.90,11282.70,934.80,,
13/11/25,SPANDANA,Smallcap,Financials,253.00,275.95,40,10120.00,11038.00,918.00,,
23/10/25,ICIL,Midcap,Textiles,285.40,309.05,35,9989.00,10816.75,827.75,,
09/09/25,UJJIVANSFB,Midcap,Bank,48.00,51.81,208,9984.00,10776.48,792.48,,
06/10/25,GLOBUSSPR,Smallcap,FMCG,1109.10,1193.30,9,9981.90,10739.70,757.80,,
13/11/25,AETHER,Midcap,Chemicals,780.90,838.90,13,10151.70,10905.70,754.00,,
22/07/25,RACLGEAR,Smallcap,Auto,1028.00,1102.00,10,10280.00,11020.00,740.00,,
27/03/25,ELECTHERM,Smallcap,Metals & Mining,842.25,898.55,12,10107.00,10782.60,675.60,,
25/06/25,STYLEBAAZA,Smallcap,Consumer Discretionary,289.40,308.20,35,10129.00,10787.00,658.00,,
24/04/25,MMTC,Midcap,Services,61.61,65.65,162,9980.82,10635.30,654.48,,
29/10/25,FIVESTAR,Midcap,Financials,606.00,643.90,17,10302.00,10946.30,644.30,,
22/09/25,BORORENEW,Midcap,Building Materials,620.00,659.70,16,9920.00,10555.20,635.20,,
16/04/25,RANEHOLDIN,Smallcap,Financials,1394.79,1484.90,7,9763.53,10394.30,630.77,,
20/08/25,GOODLUCK,Smallcap,Metals & Mining,1086.05,1152.20,9,9774.44,10369.80,595.36,,
21/04/25,MUTHOOTMF,Smallcap,Financials,161.16,170.59,62,9991.92,10576.58,584.66,,
25/07/25,AJMERA,Smallcap,Realty,932.16,985.30,11,10253.79,10838.30,584.51,,
18/06/25,JPOLYINVST,Smallcap,Financials,900.00,952.85,11,9900.00,10481.35,581.35,,
24/03/25,SANGAMIND,Smallcap,Textiles,426.86,451.95,23,9817.87,10394.85,576.98,,
23/10/25,VTL,Midcap,Textiles,427.90,452.80,23,9841.70,10414.40,572.70,,
12/11/25,RICOAUTO,Smallcap,Auto,93.60,98.81,107,10015.20,10572.67,557.47,,
12/05/25,IFGLEXPOR,Smallcap,Building Materials,221.68,234.02,45,9975.48,10530.90,555.42,,
25/04/25,BUTTERFLY,Smallcap,Consumer Discretionary,679.75,715.55,15,10196.25,10733.25,537.00,,
12/09/25,PUNJABCHEM,Smallcap,Chemicals,1243.20,1310.20,8,9945.60,10481.60,536.00,,
10/10/25,SANGAMIND,Smallcap,Textiles,428.95,451.95,23,9865.85,10394.85,529.00,,
11/11/25,BLISSGVS,Smallcap,Healthcare,154.00,161.75,65,10010.00,10513.75,503.75,,
03/04/25,AUROPHARMA,Largecap,Healthcare,1172.60,1222.50,9,10553.39,11002.50,449.11,,
11/11/25,VIKRAN,Smallcap,Industrials,104.50,108.97,96,10032.00,10461.12,429.12,,
07/08/25,STOVEKRAFT,Smallcap,Consumer Discretionary,617.17,643.15,16,9874.70,10290.40,415.70,,
23/10/25,BSOFT,Midcap,I.T,373.48,388.70,27,10083.87,10494.90,411.03,,
15/09/25,ANANTRAJ,Largecap,Realty,591.95,616.10,17,10063.15,10473.70,410.55,,
15/09/25,SHREEPUSHK,Smallcap,Chemicals,397.89,412.70,25,9947.19,10317.50,370.31,,
27/10/25,FSL,Largecap,I.T,350.00,362.70,29,10150.00,10518.30,368.30,,
21/08/25,IDBI,Largecap,Bank,97.53,101.04,103,10045.59,10407.12,361.53,,
06/05/25,UNIECOM,Smallcap,I.T,128.00,131.96,78,9984.00,10292.88,308.88,,
08/09/25,STYLAMIND,Smallcap,Building Materials,1845.00,1905.00,5,9225.00,9525.00,300.00,,
23/06/25,IRMENERGY,Smallcap,Energy,306.95,316.00,33,10129.31,10428.00,298.69,,
23/10/25,POKARNA,Smallcap,Consumer Discretionary,876.20,902.65,11,9638.20,9929.15,290.95,,
06/11/25,APCOTEXIND,Smallcap,Chemicals,389.00,399.85,26,10114.00,10396.10,282.10,,
31/07/25,KAYNES,Largecap,Consumer Discretionary,6202.50,6332.00,2,12405.00,12664.00,259.00,,
01/09/25,HUHTAMAKI,Smallcap,Industrials,230.81,236.65,43,9924.83,10175.95,251.12,,
13/08/25,HONASA,Midcap,Services,285.15,292.10,35,9980.25,10223.50,243.25,,
03/11/25,ORCHPHARMA,Smallcap,Healthcare,785.00,803.70,13,10205.00,10448.10,243.10,,
24/06/25,SWANCORP,Midcap,Textiles,446.31,457.25,22,9818.79,10059.50,240.71,,
02/04/25,VMART,Midcap,Consumer Discretionary,815.10,834.95,12,9781.20,10019.40,238.20,,
03/09/25,DIAMONDYD,Smallcap,FMCG,1041.00,1064.30,10,10410.00,10643.00,233.00,,
03/09/25,SPANDANA,Smallcap,Financials,270.00,275.95,37,9990.00,10210.15,220.15,,
03/09/25,MANINDS,Smallcap,Metals & Mining,418.00,426.55,24,10032.00,10237.20,205.20,,
19/09/25,ORCHPHARMA,Smallcap,Healthcare,788.25,803.70,13,10247.25,10448.10,200.85,,
07/10/25,ANDHRSUGAR,Smallcap,Chemicals,79.28,80.87,126,9989.28,10189.62,200.34,,
10/11/25,ANUP,Smallcap,Industrials,2400.00,2449.90,4,9600.00,9799.60,199.60,,
30/05/25,AWL,Largecap,FMCG,268.95,274.20,37,9951.15,10145.40,194.25,,
13/11/25,HONASA,Midcap,Services,286.65,292.10,35,10032.75,10223.50,190.75,,
02/09/25,REDTAPE,Midcap,Consumer Discretionary,134.65,137.19,74,9964.10,10152.06,187.96,,
03/04/25,GOKEX,Midcap,Consumer Discretionary,901.00,917.60,11,9911.00,10093.60,182.60,,
10/11/25,VOLTAMP,Midcap,Industrials,7895.50,8075.50,1,7895.50,8075.50,180.00,,
11/11/25,ESABINDIA,Midcap,Industrials,5234.58,5305.90,2,10469.17,10611.80,142.63,,
28/10/25,AEROFLEX,Smallcap,Metals & Mining,185.95,188.34,54,10041.30,10170.36,129.06,,
02/04/25,HSCL,Largecap,Chemicals,450.63,454.60,22,9913.85,10001.20,87.35,,
03/11/25,DPABHUSHAN,Smallcap,Consumer Discretionary,1482.60,1492.60,7,10378.20,10448.20,70.00,,
11/11/25,TRITURBINE,Midcap,Industrials,538.20,540.55,19,10225.80,10270.45,44.65,,
17/09/25,CIEINDIA,Midcap,Industrials,428.00,428.80,23,9844.00,9862.40,18.40,,
02/04/25,DPABHUSHAN,Smallcap,Consumer Discretionary,1490.00,1492.60,7,10430.00,10448.20,18.20,,
13/11/25,CENTURYPLY,Midcap,Building Materials,791.10,792.40,13,10284.30,10301.20,16.90,,
05/05/25,DLINKINDIA,Smallcap,Services,455.46,456.20,22,10020.21,10036.40,16.19,,
13/11/25,VINDHYATEL,Smallcap,Realty,1570.00,1572.40,6,9420.00,9434.40,14.40,,
24/03/25,ALKYLAMINE,Midcap,Chemicals,1773.80,1775.60,6,10642.79,10653.60,10.81,,
02/05/25,CRISIL,Largecap,Financials,4634.42,4639.20,2,9268.85,9278.40,9.55,,
15/10/25,ICICIGI,Largecap,Financials,2003.99,2005.10,5,10019.94,10025.50,5.56,,
04/11/25,POWERINDIA,Largecap,Industrials,20457.00,21466.00,0,0.00,0.00,0.00,,
11/08/25,ANDHRSUGAR,Smallcap,Chemicals,80.92,80.87,124,10033.47,10027.88,-5.59,,
12/11/25,MSPL,Smallcap,Metals & Mining,34.75,34.72,288,10008.00,9999.36,-8.64,,
11/11/25,JYOTICNC,Largecap,Industrials,956.25,955.35,10,9562.50,9553.50,-9.00,,
30/07/25,GREAVESCOT,Smallcap,Industrials,211.10,210.73,47,9921.70,9904.31,-17.39,,
04/07/25,VENTIVE,Midcap,Services,750.65,748.25,13,9758.45,9727.25,-31.20,,
25/06/25,WELSPUNLIV,Midcap,Textiles,138.85,138.33,72,9996.85,9959.76,-37.08,,
03/09/25,MOIL,Midcap,Metals & Mining,358.98,356.00,28,10051.48,9968.00,-83.48,,
20/08/25,PROTEAN,Smallcap,I.T,855.36,848.20,12,10264.26,10178.40,-85.86,,
15/05/25,KEC,Largecap,Realty,798.81,791.55,13,10384.54,10290.15,-94.39,,
03/10/25,VMART,Midcap,Consumer Discretionary,842.90,834.95,12,10114.80,10019.40,-95.40,,
04/11/25,TBOTEK,Midcap,I.T,1589.00,1572.40,6,9534.00,9434.40,-99.60,,
02/04/25,BBTC,Midcap,Auto,1851.50,1830.70,5,9257.50,9153.50,-104.00,,
16/10/25,SUMMITSEC,Smallcap,Financials,2222.20,2201.00,5,11111.00,11005.00,-106.00,,
07/08/25,ITI,Largecap,Aerospace & Defence,320.00,316.55,31,9920.00,9813.05,-106.95,,
02/06/25,ASTRAZEN,Largecap,Healthcare,9281.28,9153.00,1,9281.28,9153.00,-128.28,,
23/10/25,KITEX,Smallcap,Consumer Discretionary,213.73,210.99,47,10045.31,9916.53,-128.78,,
17/10/25,GODAVARIB,Smallcap,FMCG,265.25,261.55,38,10079.50,9938.90,-140.60,,
29/10/25,ATGL,Largecap,Energy,634.90,625.15,16,10158.40,10002.40,-156.00,,
13/10/25,JUBLINGREA,Midcap,Chemicals,694.35,683.00,14,9720.90,9562.00,-158.90,,
18/07/25,ORISSAMINE,Smallcap,Metals & Mining,5200.00,5116.50,2,10400.00,10233.00,-167.00,,
07/11/25,SASKEN,Smallcap,I.T,1455.70,1429.40,7,10189.92,10005.80,-184.12,,
12/11/25,ICIL,Midcap,Textiles,315.00,309.05,32,10080.00,9889.60,-190.40,,
17/09/25,TBZ,Smallcap,Consumer Discretionary,194.35,190.27,51,9911.85,9703.77,-208.08,,
12/11/25,GNFC,Midcap,Chemicals,516.05,504.50,19,9804.95,9585.50,-219.45,,
13/11/25,INFIBEAM,Midcap,I.T,19.50,19.07,513,10003.50,9782.91,-220.59,,
09/09/25,FLUOROCHEM,Largecap,Chemicals,3635.23,3556.50,3,10905.69,10669.50,-236.19,,
23/09/25,BFINVEST,Smallcap,Financials,475.00,463.40,21,9975.00,9731.40,-243.60,,
20/08/25,GNA,Smallcap,Auto,326.75,318.85,31,10129.25,9884.35,-244.90,,
